,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
116,113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,4,0,0,19,10,0,3,27,14,0,0,1,160,63,48,56.8,Matches
117,114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,6,0,0,25,12,1,7,23,23,0,0,0,135,60,24,71.4,Matches
118,115,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,20,2001,0.3,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches
119,116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
120,117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,1,0,0,3,4,0,2,0,3,0,0,0,6,3,6,33.3,Matches
121,118,Matias Arezo,uy URU,"FW,MF",Granada,es La Liga,18,2002,1.8,1,0,0,3,1,0,4,1,3,0,0,0,3,7,5,58.3,Matches
122,119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,1,0,0,6,5,2,15,5,5,0,0,0,23,9,14,39.1,Matches
123,120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,1,0,0,13,6,2,18,3,4,1,0,0,36,13,23,36.1,Matches
124,121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,1,0,0,11,20,1,35,8,19,1,0,0,94,3,11,21.4,Matches
125,122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,6,0,0,45,21,14,12,7,9,0,0,0,77,25,41,37.9,Matches
126,123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,4,0,0,47,57,1,182,37,20,0,1,0,243,33,28,54.1,Matches
127,124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,Matches
128,125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,9,0,0,28,36,0,33,13,20,1,0,0,140,6,8,42.9,Matches
